CLIENTNUM;Churn;Age;Gender;Dependents;EducationLevel;MaritalStatus;YearIncome;Purpose;Card_Category;Months;TotalRelationshipCount;MonthsInactive12;ContactsCount12;CreditLimit;TotalAmtChngQ4Q1;TotalTransAmt;TotalCtChngQ4Q1;AvgUtilizationRatio
711526533;0;33;M;3;среднее;гражданский брак;135678.3944;получение образования;Blue;25;4;2;3;164340;0.955;1726;0.85;0.128
804403908;0;50;M;3;среднее;женат / замужем;190643.0718;строительство жилой недвижимости;Blue;45;4;2;3;218720;0.658;1806;0.409;0.051
716999883;0;51;M;4;СРЕДНЕЕ;вдовец / вдова;84431.18996;сделка с подержанным автомобилем;Blue;41;5;2;0;158970;0.584;1405;0.387;0.09
716452083;0;56;F;4;высшее;Не женат / не замужем;238322.3717;строительство собственной недвижимости;Blue;46;5;3;2;42710;1.064;2052;0.724;0.269
787599258;0;55;F;3;среднее;женат / замужем;85783.10351;на покупку автомобиля;Blue;29;6;1;2;73610;0.504;1175;0.7;0.178
714495258;0;26;M;0;высшее;гражданский брак;193671.3925;заняться высшим образованием;Blue;36;4;1;3;14383;0.553;1786;0.37;0.333
717713283;0;42;F;3;среднее;женат / замужем;123508.9068;ремонт жилью;Blue;33;6;3;3;86280;0.872;1675;0.415;0.125
789317883;0;54;M;2;среднее;гражданский брак;403355.7428;получение высшего образования;Blue;44;4;3;3;187500;0.807;1200;0.895;0.091
714500883;0;44;F;3;среднее;женат / замужем;226676.4322;на проведение свадьбы;Blue;36;4;2;3;212420;0.499;1283;0.542;0.039
789467508;0;65;F;0;среднее;женат / замужем;185740.4393;строительство жилой недвижимости;Blue;56;5;3;0;29610;0.908;1937;0.781;0.53
710317758;0;38;F;3;высшее;женат / замужем;139877.4618;свадьба;Blue;29;4;2;2;113270;1.142;2033;0.727;0.135
711231558;0;58;M;3;среднее;Не женат / не замужем;;приобретение автомобиля;Blue;40;6;1;3;83080;1.455;1915;1.056;0.303
716829483;0;39;F;3;среднее;гражданский брак;151055.1568;свой автомобиль;Blue;28;4;2;2;32490;1.06;1988;0.895;0.682
779713608;0;52;M;2;среднее;вдовец / вдова;97792.37345;операции со своей недвижимостью;Blue;36;5;1;2;29810;1.242;1648;1.5;0.456
711628458;0;45;F;3;среднее;женат / замужем;173655.8545;покупка жилья для семьи;Blue;31;4;1;0;88290;0.825;1902;0.667;0.102
718943508;0;42;M;3;среднее;женат / замужем;124712.1461;покупка жилья для семьи;Blue;33;3;3;2;37140;0.524;1454;0.522;0.584
770724558;1;42;M;2;среднее;женат / замужем;122560.7418;получение высшего образования;Blue;28;6;1;3;73400;0.65;838;0.412;0
783561558;0;57;M;4;неоконченное высшее;гражданский брак;293895.553;автомобили;Blue;51;4;2;3;169520;0.709;1918;0.649;0
719309958;1;55;M;3;среднее;Не женат / не замужем;167031.6087;покупка своего жилья;Blue;35;4;1;3;208650;0.881;837;0.667;0
788785083;0;44;F;3;среднее;гражданский брак;137289.1767;операции с коммерческой недвижимостью;Blue;25;6;3;2;30830;0.729;4311;0.56;0.337
780481308;0;37;F;3;высшее;женат / замужем;201226.0275;получение высшего образования;Blue;24;3;2;2;105840;0.692;1567;0.32;0.146
711757383;0;50;F;3;СРЕДНЕЕ;женат / замужем;174396.1022;автомобили;Blue;42;4;1;2;22400;0.668;1905;0.345;0
787550808;0;51;M;2;СРЕДНЕЕ;женат / замужем;133813.9365;заняться высшим образованием;Blue;40;5;1;2;122400;0.539;1422;0.529;0.128
779863533;0;37;M;1;среднее;женат / замужем;;покупка жилья;Blue;21;6;2;0;51200;0.867;1680;0.778;0
714529233;0;36;F;2;высшее;женат / замужем;192470.2718;операции с жильем;Blue;24;3;1;3;31240;0.869;1652;0.367;0.51
708177333;0;51;F;2;среднее;женат / замужем;202097.9982;покупка жилой недвижимости;Silver;36;5;3;0;112610;0.736;1158;0.857;0.221
812019933;0;65;M;1;высшее;гражданский брак;312283.7373;покупка жилья;Blue;56;3;3;2;24680;0.906;1797;0.586;0.819
708557358;0;43;M;2;среднее;в разводе;181443.7951;строительство собственной недвижимости;Blue;28;4;2;3;221570;0.69;1911;0.571;0.061
713580633;0;46;M;3;НАЧАЛЬНОЕ;женат / замужем;168111.0831;строительство жилой недвижимости;Blue;32;6;2;3;114770;0.767;1260;0.688;0
711466533;0;43;F;2;среднее;гражданский брак;106436.1166;сделка с подержанным автомобилем;Blue;33;5;2;2;39330;0.433;1489;0.324;0.217
802276683;0;56;M;3;среднее;женат / замужем;374595.2114;покупка жилья;Blue;50;3;3;3;80220;0.896;1794;1.385;0.171
780913308;0;43;M;3;Среднее;в разводе;251813.4567;строительство недвижимости;Blue;34;6;2;0;137710;0.501;1510;0.75;0.183
808897683;1;53;M;1;Высшее;Не женат / не замужем;196164.4722;на покупку подержанного автомобиля;Blue;48;3;3;3;302710;1.336;3231;0.306;0.046
719428308;0;50;M;2;среднее;гражданский брак;213732.6746;свадьба;Blue;41;6;2;2;32440;0.661;1274;1;0.543
713010483;0;43;F;3;среднее;гражданский брак;134969.9536;на покупку подержанного автомобиля;Blue;36;6;1;3;29360;0.694;1572;0.676;0.81
717006333;0;54;M;3;среднее;в разводе;169886.3291;жилье;Blue;36;6;1;2;14383;0.759;1935;0.708;0.788
787621158;0;33;M;2;среднее;гражданский брак;162486.6651;жилье;Blue;25;6;3;3;62420;1.054;2187;0.405;0.079
716924058;0;58;F;2;высшее;женат / замужем;118406.9595;приобретение автомобиля;Blue;49;3;1;3;61750;0.803;1417;0.25;0.189
720916683;0;41;M;3;СРЕДНЕЕ;женат / замужем;;покупка жилья для семьи;Blue;26;4;3;2;118060;0.754;1465;0.476;0.153
720923658;0;48;M;3;неоконченное высшее;гражданский брак;154974.9161;покупка своего жилья;Blue;39;5;2;2;47340;0.6;1570;0.452;0.202
712710708;0;55;M;2;среднее;в разводе;276281.8418;покупка жилья для сдачи;Blue;36;5;2;0;62440;0.607;1445;0.29;0.403
718939083;1;54;F;2;среднее;Не женат / не замужем;188401.7986;строительство собственной недвижимости;Blue;45;3;1;3;14383;1.035;694;0.364;0.213
779519058;0;51;F;3;среднее;гражданский брак;291461.3216;приобретение автомобиля;Platinum;34;3;1;2;345160;0.725;1929;0.481;0.046
719085933;0;35;M;3;высшее;в разводе;85143.25717;дополнительное образование;Blue;24;4;1;2;235610;1.373;2447;1;0.037
715124958;0;50;M;3;высшее;женат / замужем;350085.5435;недвижимость;Blue;36;5;2;3;247420;0.566;1306;0.55;0.068
712979133;1;55;M;4;среднее;женат / замужем;197074.0653;операции с жильем;Blue;41;2;2;2;275600;1.031;646;0.25;0.033
712006308;0;45;F;0;среднее;гражданский брак;187100.8171;строительство недвижимости;Blue;35;6;1;3;59230;0.702;1236;0.591;0.285
710801133;0;34;M;2;среднее;женат / замужем;188571.003;на покупку подержанного автомобиля;Blue;36;6;1;2;85810;1.226;2513;0.615;0.271
712490283;0;55;F;4;среднее;Не женат / не замужем;92387.57419;операции со своей недвижимостью;Blue;41;4;3;3;31560;1.516;2091;0.778;0.798
720071583;1;48;F;2;среднее;гражданский брак;59872.85728;строительство жилой недвижимости;Blue;36;5;1;3;71510;0.986;854;0.375;0.112
717958833;0;46;M;4;среднее;вдовец / вдова;204049.5431;покупка жилья для семьи;Blue;35;5;1;2;15350;2.282;1848;1.083;0.456
812420358;1;61;F;0;неоконченное высшее;женат / замужем;140898.0478;операции с коммерческой недвижимостью;Blue;56;3;3;3;21220;0.857;949;0.133;0.261
712370208;0;48;M;1;среднее;женат / замужем;310647.685;приобретение автомобиля;Blue;35;3;2;2;171310;0.604;1371;0.423;0.071
715940358;0;51;F;1;среднее;Не женат / не замужем;138623.5956;недвижимость;Blue;42;6;2;2;58220;0.76;1804;0.75;0.41
715041333;0;39;M;3;ВЫСШЕЕ;в разводе;481777.9065;операции с жильем;Blue;29;3;1;3;35370;1.021;1605;0.344;0.712
712797258;0;43;M;3;высшее;Не женат / не замужем;256087.1009;свадьба;Blue;33;3;1;3;345160;0.587;1463;0.583;0.062
769170558;0;53;M;3;среднее;женат / замужем;369820.9804;сделка с автомобилем;Blue;47;6;4;3;163200;0.757;1279;0.708;0
715884858;0;38;M;2;неоконченное высшее;женат / замужем;115031.2567;операции с жильем;Blue;36;5;3;3;24070;1.008;1470;0.4;0.35
796343058;0;49;F;2;среднее;женат / замужем;120664.575;образование;Blue;43;4;1;2;35380;0.481;1265;0.462;0
783910008;0;37;F;0;среднее;женат / замужем;160043.1076;на покупку подержанного автомобиля;Blue;31;5;2;2;26840;0.794;2002;0.429;0.515
718888308;0;53;M;3;высшее;Не женат / не замужем;257903.3751;получение дополнительного образования;Blue;36;4;3;2;345160;0.741;1475;0.833;0.073
785114808;0;46;M;2;СРЕДНЕЕ;женат / замужем;;операции с коммерческой недвижимостью;Silver;40;4;2;2;154590;0.789;1419;0.667;0
709852908;0;44;F;3;высшее;женат / замужем;360786.1288;высшее образование;Blue;36;5;3;3;43070;0.745;1628;0.542;0
823528833;0;50;F;1;среднее;гражданский брак;105074.3093;приобретение автомобиля;Blue;46;4;2;3;20810;1.485;1337;1.071;0.593
719679858;0;58;F;2;неоконченное высшее;гражданский брак;239089.1337;покупка коммерческой недвижимости;Blue;47;3;2;2;28480;0.517;1135;0.421;0.515
827108583;0;55;M;3;среднее;женат / замужем;193060.6996;строительство собственной недвижимости;Blue;51;3;1;3;345160;0.846;1161;0.368;0.037
787833333;0;44;M;3;высшее;женат / замужем;164480.9746;покупка коммерческой недвижимости;Blue;35;6;1;2;63610;1.027;1571;0.52;0.203
719781183;0;57;M;4;среднее;женат / замужем;163357.5295;заняться высшим образованием;Blue;38;4;1;3;154280;0.747;1916;0.538;0.101
710429358;0;57;M;1;среднее;гражданский брак;167186.6618;на проведение свадьбы;Blue;48;5;1;3;25440;0.939;1346;0.364;0.757
798792408;1;48;M;3;неоконченное высшее;женат / замужем;131627.3156;на проведение свадьбы;Blue;42;1;1;3;99590;0.688;805;0.143;0
710280558;0;51;M;1;среднее;женат / замужем;111815.6063;на покупку своего автомобиля;Blue;39;3;3;2;87960;0.492;1195;0.8;0.286
809825358;0;53;F;3;Среднее;гражданский брак;111746.2479;покупка недвижимости;Blue;48;6;1;3;34280;0.557;1155;0.545;0.457
714451833;0;45;F;1;высшее;женат / замужем;133960.7375;свой автомобиль;Blue;36;6;2;2;14383;0.597;1431;0.545;0
713943783;0;41;M;4;среднее;женат / замужем;140704.0096;покупка жилья для семьи;Blue;32;5;3;2;180010;0.62;1194;0.471;0.05
710706558;0;51;F;4;высшее;Не женат / не замужем;;операции со своей недвижимостью;Blue;42;3;1;3;26800;0.32;1154;0.571;0.654
713620308;0;46;F;2;высшее;гражданский брак;96322.79295;строительство недвижимости;Blue;35;6;4;3;46750;0.413;1232;0.545;0.371
813453408;0;40;F;5;среднее;женат / замужем;169623.8558;высшее образование;Blue;35;3;1;3;24480;0.502;1269;0.875;0.692
818248383;0;33;M;2;среднее;женат / замужем;81828.78306;строительство жилой недвижимости;Blue;28;3;3;3;40490;0.898;1742;1.5;0
780106908;0;53;M;1;среднее;женат / замужем;26533.42314;покупка коммерческой недвижимости;Blue;38;6;2;2;81540;0.594;1379;1;0.122
708938508;0;63;M;1;СРЕДНЕЕ;гражданский брак;;образование;Blue;36;5;3;2;45590;1.441;1870;0.842;0.345
709671708;0;61;M;0;ВЫСШЕЕ;женат / замужем;;заняться образованием;Blue;36;4;2;1;193540;0.956;1207;0.684;0.051
711204483;1;56;M;4;среднее;гражданский брак;42433.08178;профильное образование;Blue;46;3;3;3;23400;0.987;781;0.364;0.825
801728658;0;53;M;2;среднее;Не женат / не замужем;;операции с жильем;Blue;47;6;3;0;138480;1.178;1773;0.407;0.1
713945883;1;62;F;2;среднее;женат / замужем;138863.804;сыграть свадьбу;Blue;52;4;2;2;24900;0.678;864;0.333;0.206
779558733;0;50;F;4;среднее;женат / замужем;185214.6544;получение дополнительного образования;Silver;36;6;1;2;321560;0.906;1559;1.167;0.056
788370258;0;37;M;4;среднее;женат / замужем;60217.09406;ремонт жилью;Blue;30;5;3;2;25780;0.896;1830;0.524;0.976
714927333;0;62;F;0;среднее;вдовец / вдова;261408.0041;операции с коммерческой недвижимостью;Blue;52;6;3;2;90500;0.77;1542;0.654;0.17
710383158;0;49;M;3;среднее;в разводе;110931.6982;профильное образование;Silver;41;4;1;2;345160;0.499;1506;0.516;0
798007308;0;57;F;3;среднее;женат / замужем;87830.3318;покупка коммерческой недвижимости;Blue;51;6;1;0;83620;0.528;1175;0.464;0
711768858;0;55;M;2;среднее;женат / замужем;106602.8144;автомобили;Blue;36;3;2;3;65140;0.785;1383;1.857;0.347
714888633;0;50;M;1;среднее;женат / замужем;110878.1671;автомобили;Blue;42;3;3;4;40510;0.794;1837;0.629;0.292
712650333;0;48;M;3;среднее;вдовец / вдова;;строительство собственной недвижимости;Blue;37;3;3;2;119590;0.675;1191;0.481;0.139
719945433;0;60;F;1;высшее;гражданский брак;174811.3778;сыграть свадьбу;Blue;48;3;2;2;20700;0.708;1793;0.963;0
720310458;0;46;M;1;среднее;женат / замужем;111672.5673;покупка жилья для семьи;Blue;32;5;2;1;118400;0.84;1560;0.4;0.109
718344033;0;47;M;2;среднее;женат / замужем;187634.349;на проведение свадьбы;Blue;35;4;3;2;36360;0.596;1564;0.686;0.278
715442958;0;54;M;2;высшее;Не женат / не замужем;161225.6336;операции с жильем;Blue;36;3;3;3;110670;1.048;1843;1.235;0.227
780326883;0;53;M;2;высшее;женат / замужем;126536.8593;свадьба;Blue;40;3;3;3;112620;0.735;2165;0.649;0.127
711157833;0;56;F;3;СРЕДНЕЕ;женат / замужем;181902.376;сделка с подержанным автомобилем;Blue;36;4;1;0;51080;0.711;1631;0.323;0.324
719704308;0;56;F;4;среднее;женат / замужем;95808.33957;автомобиль;Blue;36;5;1;1;20720;0.486;1265;0.391;0.745
708772308;0;41;M;3;среднее;Не женат / не замужем;229124.4113;получение образования;Blue;24;4;3;3;41190;0.561;1455;0.667;0.402
817663908;0;60;F;1;высшее;женат / замужем;248665.6955;профильное образование;Blue;42;5;3;3;59030;0.914;1137;0.929;0.226
780054258;0;40;M;5;высшее;женат / замужем;276867.2178;покупка коммерческой недвижимости;Blue;25;6;2;3;78600;0.764;1367;0.75;0.069
709990983;0;49;F;3;среднее;женат / замужем;177809.6704;покупка жилья;Blue;36;6;2;2;59180;0.56;1292;0.733;0.142
818045958;0;46;M;4;среднее;женат / замужем;229754.019;получение высшего образования;Blue;41;5;3;2;67410;0.559;1682;0.438;0.259
716380683;0;36;F;3;среднее;в разводе;151395.4546;получение высшего образования;Blue;36;6;1;2;38800;1.015;1598;0.5;0.397
787480158;0;57;F;2;среднее;женат / замужем;157970.4864;недвижимость;Blue;45;4;2;0;24940;0.858;1555;0.625;0.657
778461408;0;38;M;1;среднее;гражданский брак;63552.02481;получение образования;Blue;23;4;3;2;221490;1.633;2409;0.8;0.045
713861733;0;50;M;3;среднее;вдовец / вдова;85782.74558;автомобили;Blue;36;4;3;1;345160;0.869;1770;0.585;0.045
789291633;0;62;M;0;высшее;Не женат / не замужем;282634.2672;сыграть свадьбу;Blue;51;3;2;0;54500;0.701;1526;0.8;0.177
789513858;1;43;M;3;среднее;женат / замужем;123577.2676;на проведение свадьбы;Blue;35;2;2;3;14383;0.694;891;0.4;0
778357458;0;44;F;5;среднее;гражданский брак;143968.403;операции со своей недвижимостью;Blue;24;4;3;3;20030;0.646;1756;0.355;0.611
718325883;0;39;M;2;ВЫСШЕЕ;гражданский брак;84769.08902;операции с коммерческой недвижимостью;Blue;32;6;3;2;77230;1.181;1241;1;0.246
720344658;0;38;M;2;среднее;женат / замужем;120072.4286;покупка недвижимости;Blue;23;4;1;1;182260;0.845;1681;0.87;0.101
809292483;0;44;F;4;среднее;женат / замужем;113270.8616;на покупку подержанного автомобиля;Blue;39;4;2;2;81280;0.857;1224;0.778;0.227
779791008;0;43;M;3;среднее;женат / замужем;227382.8618;на покупку подержанного автомобиля;Blue;32;6;2;3;58510;0.786;1572;0.52;0.284
779557533;0;54;M;1;среднее;женат / замужем;132762.1959;операции с недвижимостью;Blue;40;6;3;3;102600;1.042;1566;0.562;0.092
795904233;0;38;F;3;среднее;гражданский брак;126706.5985;покупка коммерческой недвижимости;Blue;32;5;1;0;269450;0.687;1579;0.6;0.027
710573808;0;55;M;2;среднее;женат / замужем;100532.6086;получение образования;Blue;36;6;3;3;22430;0.39;1334;0.409;0.632
717418158;0;42;M;5;среднее;гражданский брак;64834.05084;на покупку автомобиля;Blue;36;4;1;2;345160;0.69;1230;0.889;0.053
771963708;1;56;M;3;среднее;женат / замужем;305085.9789;автомобили;Blue;45;5;3;2;122480;0.894;767;0.562;0
712433508;1;59;F;1;среднее;женат / замужем;133090.937;недвижимость;Blue;50;3;2;3;14383;0.57;724;0.231;0
779320983;0;46;M;4;среднее;женат / замужем;;операции со своей недвижимостью;Blue;28;4;3;2;198430;0.909;1638;0.633;0.059
718093233;0;55;F;2;среднее;женат / замужем;197859.3174;сыграть свадьбу;Blue;45;3;3;3;21630;0.816;1349;0.88;0
719459358;0;52;M;1;высшее;гражданский брак;169846.4275;сделка с подержанным автомобилем;Blue;41;4;2;2;338640;1.219;1751;0.92;0.029
717728808;0;39;F;2;высшее;женат / замужем;;сыграть свадьбу;Blue;26;3;1;2;45310;0.813;1414;0.333;0.268
788701608;0;42;F;4;высшее;гражданский брак;;получение дополнительного образования;Blue;26;5;2;3;29500;0.605;1260;0.6;0.578
778506633;1;43;F;4;среднее;в разводе;137342.8655;дополнительное образование;Blue;23;6;2;3;77060;0.764;965;0.421;0.051
719989008;0;47;F;1;среднее;женат / замужем;88021.17799;приобретение автомобиля;Blue;36;5;1;0;256570;0.856;1121;0.667;0.086
791839233;0;42;F;4;среднее;Не женат / не замужем;121830.1156;ремонт жилью;Blue;36;5;3;2;175360;0.859;1411;0.474;0.087
716918508;0;39;M;1;среднее;вдовец / вдова;86546.75061;строительство собственной недвижимости;Blue;24;4;3;3;37700;0.621;1602;0.441;0.318
717321783;0;50;M;1;высшее;женат / замужем;80154.65204;покупка коммерческой недвижимости;Blue;45;5;2;2;103440;0.445;1617;0.424;0.123
799000008;0;57;M;2;среднее;женат / замужем;92854.98906;дополнительное образование;Blue;51;4;1;1;264370;0.742;1244;0.5;0.056
721517208;0;41;M;4;НЕОКОНЧЕННОЕ ВЫСШЕЕ;Не женат / не замужем;;покупка своего жилья;Blue;30;4;6;1;24500;0.589;1263;0.611;0.803
719068683;0;52;F;1;высшее;Не женат / не замужем;57390.25691;профильное образование;Blue;36;5;1;2;31360;0.693;1036;0.25;0.594
709120008;0;43;M;2;среднее;Не женат / не замужем;109931.216;ремонт жилью;Blue;36;4;3;2;69760;0.519;1217;1.438;0
709117533;0;42;M;3;среднее;гражданский брак;78351.23291;покупка жилья для сдачи;Blue;36;4;3;1;211340;0.505;1556;0.842;0.071
816594183;0;58;F;2;высшее;женат / замужем;141289.585;ремонт жилью;Blue;53;6;2;3;20190;1.158;2005;0.59;0.684
789485433;0;42;M;4;среднее;гражданский брак;101447.1922;покупка жилья для семьи;Blue;34;3;2;3;345160;0.678;1698;0.763;0.019
712881483;0;55;M;1;высшее;Не женат / не замужем;381117.6067;ремонт жилью;Blue;45;5;3;3;99590;1.043;2041;0.875;0.19
712689333;0;38;M;2;среднее;женат / замужем;149695.9476;строительство собственной недвижимости;Blue;28;4;3;2;202410;0.66;1102;0.632;0.059
771492408;0;40;F;2;среднее;в разводе;236805.6716;покупка своего жилья;Blue;28;3;1;2;24210;0.691;1346;1.308;0.722
711668283;0;48;M;4;высшее;женат / замужем;99420.12285;покупка жилья для сдачи;Blue;37;5;6;3;309480;0.609;1511;0.207;0.078
772684833;0;32;F;1;Среднее;женат / замужем;173640.3509;приобретение автомобиля;Blue;22;3;3;2;26420;1.119;1761;0.909;0.77
712960308;0;33;F;2;высшее;в разводе;330532.1567;автомобиль;Blue;36;4;1;1;80700;1.03;2117;0.649;0.291
713530833;1;58;M;2;высшее;женат / замужем;205020.6729;покупка жилья для семьи;Blue;48;2;3;3;40850;0.568;596;0.5;0.548
756065433;0;26;M;0;среднее;женат / замужем;51306.85661;операции со своей недвижимостью;Blue;19;5;2;2;21870;0.777;2560;0.314;0.73
710997183;0;46;M;0;среднее;женат / замужем;137645.5194;операции с недвижимостью;Gold;36;3;3;2;345160;0.737;1409;0.345;0.032
711146358;0;39;F;1;высшее;женат / замужем;275893.9173;сыграть свадьбу;Blue;29;4;3;2;33580;0.723;1759;0.737;0.524
716144058;0;36;F;1;среднее;гражданский брак;177339.1371;автомобили;Blue;25;6;3;3;18880;0.928;1886;0.65;0
778699908;1;43;M;2;Среднее;женат / замужем;118514.4864;профильное образование;Blue;24;2;3;3;144470;0.856;915;2.222;0
713571258;0;45;M;2;среднее;женат / замужем;211518.7112;на проведение свадьбы;Silver;26;6;3;2;323490;0.646;1343;0.519;0.05
711676908;0;51;F;3;среднее;женат / замужем;93823.4341;строительство собственной недвижимости;Blue;36;3;2;3;126050;0.703;1870;0.647;0.115
719315508;0;62;F;0;среднее;женат / замужем;143570.1325;операции с коммерческой недвижимостью;Blue;36;4;2;2;29640;1.296;1557;1.778;0.81
778623858;0;58;M;0;среднее;Не женат / не замужем;110332.5608;высшее образование;Blue;38;6;3;3;37850;1.558;1824;1.45;0.511
714665733;0;42;M;4;среднее;Не женат / не замужем;91218.62806;операции с жильем;Blue;36;5;1;0;27270;0.568;1294;0.444;0.306
816089433;0;49;M;4;среднее;женат / замужем;106928.4491;свадьба;Blue;44;3;1;1;33430;1.146;1545;0.824;0.473
716991933;1;53;F;3;среднее;женат / замужем;140016.1079;свадьба;Blue;35;6;3;1;97860;0.701;820;0.562;0
714534108;0;45;F;2;высшее;женат / замужем;169486.5071;покупка недвижимости;Blue;36;4;1;3;64070;0.678;1675;0.469;0.294
787456608;0;29;M;2;высшее;женат / замужем;216261.1911;операции с жильем;Blue;15;6;2;2;41580;0.778;1678;0.542;0.393
717090183;0;60;M;1;среднее;Не женат / не замужем;97799.83666;свой автомобиль;Blue;50;6;1;2;216970;0.654;2117;0.655;0.099
772782708;0;50;M;3;среднее;гражданский брак;103892.7553;строительство собственной недвижимости;Blue;40;5;2;2;313830;0.765;1721;0.75;0.054
710722908;0;53;M;3;среднее;женат / замужем;83606.2113;покупка жилья;Blue;36;3;1;0;308830;0.86;1267;0.533;0.055
795155433;0;45;M;3;среднее;гражданский брак;391629.5576;недвижимость;Blue;38;6;3;1;129180;1.061;1562;1.2;0.104
715271733;0;50;F;2;среднее;в разводе;193064.7916;недвижимость;Blue;37;3;3;0;85200;0.504;1193;0.346;0.096
771706308;0;46;M;2;среднее;вдовец / вдова;115102.5424;сыграть свадьбу;Blue;34;4;3;2;143100;0.558;1254;0.478;0.048
713989233;0;61;M;0;высшее;женат / замужем;357757.0243;на покупку своего автомобиля;Blue;53;6;2;3;144340;2.675;1731;3.571;0.134
780198258;0;46;M;4;среднее;Не женат / не замужем;128555.8972;недвижимость;Blue;36;5;2;1;77930;0.597;1099;0.696;0.219
802002858;1;62;F;1;среднее;женат / замужем;176497.1583;недвижимость;Blue;56;2;1;2;89900;0.935;747;0.583;0
716290233;0;43;F;3;высшее;гражданский брак;65058.88649;приобретение автомобиля;Blue;33;6;2;3;43430;0.563;1352;0.944;0
828298908;0;54;M;4;среднее;женат / замужем;120913.2515;на проведение свадьбы;Blue;50;4;2;0;28720;0.613;1770;0.741;0.709
788946783;0;50;M;2;среднее;Не женат / не замужем;91247.05816;дополнительное образование;Blue;36;5;1;3;96970;0.759;1812;0.923;0
720697908;0;35;M;2;среднее;женат / замужем;181903.0154;на покупку подержанного автомобиля;Blue;21;3;3;1;29670;0.681;1673;0.526;0.621
780598383;0;35;M;3;НАЧАЛЬНОЕ;женат / замужем;127878.0455;строительство жилой недвижимости;Blue;23;4;3;2;21480;0.682;2167;0.512;0.719
715345833;0;36;F;1;высшее;Не женат / не замужем;209621.8389;строительство недвижимости;Blue;36;6;3;1;61160;0.691;2369;0.75;0.412
710831133;0;42;M;3;высшее;женат / замужем;186981.0909;заняться высшим образованием;Blue;36;5;2;2;180850;0.792;1582;1.043;0.082
766706358;0;39;F;2;ВЫСШЕЕ;женат / замужем;217618.0748;операции с недвижимостью;Blue;32;6;3;0;25240;1.048;1800;0.5;0.553
816533733;0;50;M;1;среднее;гражданский брак;119863.0198;получение образования;Blue;45;5;2;2;339510;0.822;1567;0.467;0
712373208;1;43;M;3;среднее;женат / замужем;87732.80561;сделка с подержанным автомобилем;Blue;35;3;3;2;33120;0.698;647;0.462;0
721433283;0;39;F;1;среднее;женат / замужем;79246.08032;на покупку автомобиля;Blue;20;3;2;2;99560;0.515;1447;0.696;0.112
720680058;0;47;M;2;Среднее;женат / замужем;197462.7684;получение высшего образования;Blue;36;6;1;3;38880;0.664;1145;0.423;0.428
716909283;0;60;M;1;высшее;женат / замужем;279980.7146;покупка жилой недвижимости;Blue;48;3;1;3;306550;0.475;3280;0.625;0
754654383;0;30;M;2;среднее;гражданский брак;123807.8452;покупка жилья;Blue;23;4;2;0;29970;1.12;1577;0.522;0.465
719226333;0;44;M;4;ВЫСШЕЕ;гражданский брак;162361.426;недвижимость;Blue;24;5;3;2;110420;0.897;1140;0.786;0.2
779759058;0;52;M;0;среднее;Не женат / не замужем;130231.4603;сделка с автомобилем;Blue;41;6;3;2;33860;0.671;1736;1.105;0.53
718206783;0;45;F;4;среднее;женат / замужем;;покупка коммерческой недвижимости;Gold;36;6;1;3;159870;0.732;1436;1.25;0.103
715783758;0;40;M;4;среднее;женат / замужем;135072.1606;покупка недвижимости;Blue;30;5;3;3;251880;0.557;1513;0.583;0.051
771190083;0;36;F;3;среднее;вдовец / вдова;198209.0335;на покупку своего автомобиля;Blue;23;6;2;1;24100;0.798;2505;0.568;0.707
713135883;0;65;F;0;высшее;женат / замужем;182292.2007;строительство жилой недвижимости;Blue;53;4;3;0;43150;0.808;1723;0.5;0.166
778799583;0;35;F;0;высшее;женат / замужем;198200.6687;операции с коммерческой недвижимостью;Blue;24;6;1;1;25920;0.633;1695;0.548;0.859
808796208;0;54;F;2;среднее;Не женат / не замужем;125684.7423;автомобиль;Blue;49;5;3;2;54760;0.967;1532;0.692;0.46
708313608;0;53;M;3;среднее;женат / замужем;;на покупку автомобиля;Blue;43;5;3;0;24640;0.744;2110;1.048;0.859
779330208;0;62;F;1;Начальное;вдовец / вдова;68397.78894;жилье;Blue;44;3;2;3;23780;0.448;1807;0.607;0.677
794498733;0;40;M;2;СРЕДНЕЕ;вдовец / вдова;231373.7455;покупка жилья;Blue;21;6;4;3;200560;0.466;1687;0.533;0.08
807964908;0;41;M;4;высшее;гражданский брак;176220.1994;покупка жилой недвижимости;Blue;36;4;2;2;80130;0.789;1481;0.452;0.253
823845783;0;53;M;2;среднее;женат / замужем;155395.0066;автомобили;Blue;49;6;2;3;33860;0.573;1318;0.194;0.586
711748983;0;30;M;1;среднее;женат / замужем;118151.6968;недвижимость;Blue;17;3;3;2;79060;0.889;1946;0.552;0.206
718064283;0;46;M;3;среднее;женат / замужем;121725.1935;заняться высшим образованием;Blue;34;4;3;0;115010;0.84;1481;0.519;0.062
710492733;0;29;M;0;среднее;женат / замужем;220450.5055;операции с коммерческой недвижимостью;Blue;19;4;1;2;136320;0.893;2168;2.5;0.109
779016408;0;37;F;3;среднее;женат / замужем;95171.29448;покупка жилья для семьи;Blue;27;6;1;3;22290;1.139;1583;0.6;0.803
717787533;0;51;F;1;среднее;женат / замужем;280518.2471;свадьба;Blue;40;4;1;1;51580;0.426;1229;0.478;0.425
714851058;0;31;M;0;среднее;вдовец / вдова;191490.5759;операции с жильем;Blue;21;3;3;0;21580;1.1;1718;0.448;0.801
